,text,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
2214,탐라에 있는 여성분들 이번 선거 결과가 어떻든 용기내어 여성들의 목소리를 대신 내주고 앞장서서 노력해준 추적불꽃단 박지현님을 지켜야 합니다.2번남들이 현재 젤 꼴보기 싫은 상대가 지현님일테니까요이재명 가보자고🔥 ,0.08,0.6,0.06,0.02,0.01,0.02,0.0,0.02,0.1,0.13
2283,"제발 이재명 당선되어서 총리 추미애 여성가족부장관 권인숙, 박지현 비례 1번 넣어서 2번남들 개거품 물게 해주세요 비나이다 비나이다",0.07,0.86,0.03,0.04,0.02,0.02,0.01,0.03,0.07,0.04
2433, 그래도 박지현 활동가와 권인숙 의원이 진보한남들한테 대역죄인으로 낙인찍히는 일만은 없었으면 좋겠읍니다(진심),0.03,0.91,0.06,0.05,0.03,0.02,0.01,0.03,0.05,0.06
2621,박지현이 표끌어오면 그 근처 모인 1번남들이 표싹싹모아다 버리는게 저기 루틴이라 좆같음,0.04,0.89,0.02,0.05,0.02,0.03,0.01,0.03,0.09,0.04
2772," 그나저나 박영훈은 안면몰수하고서 ""박지현님 ㅊㅅㅊㅅ""하는데, 나머지 진보한남들은 박지현을 볼드모트 취급하는 것도 재밌습니다😑",0.05,0.9,0.03,0.04,0.04,0.02,0.01,0.02,0.05,0.1
3072,2번남들 설치는 꼴 보기 싫으니 1번 투표하자는거랑 박지현 보고 뽑는다는 거랑 같냐 ㅋㅋㅋㅋ 자신의 정치적 판단과 결정에 대해 타인에게 이야기 할 때 어떤 내러티브를 빌리는지 모르는거냑오,0.02,0.82,0.04,0.04,0.02,0.03,0.01,0.03,0.09,0.04
3157,"홍대에서 ""전주""에서 온 한 ""남성""이 젠더갈등 해결을 위해 ""박지현활동가 꼭 지켜주십시요!"" ............. 진짜. 1번남들은 1번을 찍는다. ",0.07,0.74,0.14,0.02,0.01,0.04,0.01,0.03,0.05,0.06
3194,자매님들 🌹 박지현 위원장을 봐서라도 한 표 부탁드립니다... 이재명도 당도 박지현 위원장의 역할이 얼마나 큰 지 알고있습니다 박지현씨에게 힘을 보태주세요 부탁드립니다 감사합니다🙇‍♀️ ,0.08,0.64,0.02,0.02,0.01,0.02,0.01,0.01,0.05,0.31
3419,나한테 다 계획이 있고 뜻이 있어서 내가 할 수 있는 일을 찾아 함께 가는거라고...그런데 잘 알지도 못하는 것들이 나랑 같이 일하는 남대표한테 본창이 자댕이 좆뱀 하면서 욕을 막 퍼붓는데그러면서 내가 너무 걱정이 된다는거야?그럼 제발제발 닥쳐주라ㅜㅜ지금 박지현님이 딱 이 마음이겠지??,0.04,0.86,0.04,0.04,0.01,0.01,0.02,0.01,0.12,0.05
3441,이거 보는데 눈물 난다. 진짜.박지현님 괴롭히는 2번남들 가만안도. ,0.05,0.67,0.05,0.02,0.01,0.02,0.01,0.02,0.18,0.1
3759,그럼 유세하시던 박지현씨도 위험했던거 아니냐 게다가 유세장소 죄 여대앞이랬는데...얘들아 니네가 남자놈들 오냐오냐하다 사회화를 이따위로 실패하니까 산에 불지르고 사람때려죽이려하고 그런거아니냐,0.12,0.76,0.05,0.01,0.02,0.01,0.01,0.02,0.12,0.04
3948," 신남성연대인지 신라면연대인지, 찌질이 2번남들을 무너뜨릴 수 있는 분들은 깨어 있는 2030 여성들입니다. 우리나라 여성들의 힘을 믿습니다.~~",0.08,0.74,0.03,0.13,0.02,0.05,0.0,0.03,0.03,0.05
3998, 위협적인 댓글은 꼬박꼬박 캡쳐해 두셨다가 선거 끝나고 용돈벌이에 쓰시면 됩니다. 원래 찌찔한 이번남 애들이 주둥이로만 떠들지 구치소 입구만 가면 엄마부터 찾습니다. 좋은 교육의 기회가 될겁니다. 화이팅!!,0.02,0.77,0.01,0.03,0.03,0.01,0.01,0.02,0.12,0.07
4013, 박지현님 찬조연설 중 유튜브에 올린 것도 공격받는거 차단 중입니다. '이번남들' 이라니 더이상 말 안하는 인간도 보이고.,0.04,0.85,0.03,0.03,0.01,0.02,0.01,0.02,0.08,0.08
4130,"옛날 제비족에 여자들 계속 꼬이는 거 보면 정말 의아했거든, 근데 요즘도 이재명에게 꼬이는 권인숙 박지현류의 모습을 보면서 지구멸망할 때까지 제비 족 같 은 남자새끼들은 절대 사라지지 않을 거란 생각.",0.35,0.74,0.03,0.02,0.02,0.01,0.01,0.02,0.05,0.04
4195,"민주당 내 이번남들  🤮2030 여성들이 이재명을 뽑으면 민주당 안에서 이번남 노릇하는 놈들도 몰아낼 수 있습니다.그 빈자리는 권인숙, 박지현 같은 여성들이 채우게 될 겁니다.그 날을 위해 이재명 후보에게 한표 부탁드립니다!!! 👍 ",0.14,0.77,0.02,0.03,0.02,0.05,0.01,0.03,0.06,0.07
4366,"... 원래 죽어도소신투표ㅇㅇ sj sj pump this party엿는데 박지현님 입당기사 보자마자 흔들렷어저두욧. . n번방에 엮인 한남들 오지게많고 뭐만하면 성적으로 보복시킬려고 혈안인 놈들인데 신상, 얼굴 공개하고 정치판에 뛰어든게 얼마나 큰 결심이었을지 상상이 x.. 게다가 성착취",0.03,0.88,0.04,0.02,0.02,0.01,0.01,0.02,0.09,0.05
4394," 그러면서 박지현씨 이 악물로 까내리고 욕하는거 보기 추해요. 제가 1번 지지 하지 않더라고 불꽃 멋있고 좋은데 어쩌라는건지. 즈그들이하는 펨코,신남연 여혐짓보다 백배천배 좋아요. 한표 주고 싶은마음 절로 생기잖아요. 아 결과 너무 궁금합니다.~",0.16,0.67,0.03,0.03,0.01,0.01,0.01,0.02,0.11,0.09
4471,"참 어제부터, 정의당계랑 여성에 표 맡겨놨나? 박지현님 발로 뛰셔서 얻은 것들 다 깎아먹지 말고 트민남들은 입에 지퍼좀 ㅇㅇ",0.08,0.68,0.07,0.23,0.01,0.01,0.01,0.02,0.05,0.04
4497,JTBC서 불꽃추적단 박지현 위원장 나와 이재명 지지연설하네.. 어제도 이 분 지지하는 마음으로 종각 유세에 나갔는데 윤무당이 정권 잡으면 극우한남들 타겟이 될 이 분의 안위가 심히 걱정된다. 더불어 졸지에 2등시민으로 전락할 나 포함 이 땅의 여성들의 운명은 어쩔..,0.05,0.91,0.03,0.08,0.03,0.03,0.01,0.02,0.04,0.05
4574,국힘에 간 신지예도 민주당 간 박지현도 다소 백래시적인 말을 한 추미애도 응원하지만 니네는 뭐냐? 자집애가 하는 일에만 주구장창 관심가지면서 올려치고 좆주당에 자아의탁하며 시발시발거리는게 전부아니냐 ㅋㅋ정신병원이나 가봐라 느그 분노하나 제대로 조절못할 것 같으면 약부터 먹어아지,0.05,0.89,0.03,0.03,0.03,0.02,0.02,0.04,0.11,0.02
5172,"이재명이라니, 정말 있을 수 없는 일이지만 박지현씨한테 (한남)사회가 진 빚을 어떻게 하나. 맴이 무겁다.",0.03,0.92,0.02,0.04,0.03,0.03,0.02,0.02,0.05,0.05
5191,박지현님이 이렇게 말씀하셨을때 정말로 사과할까?싶기도 했어요. 근데 하네요.이재명은 권력형 성범죄 부정하고 민주당 잘못없다고 우기는 민주당지지한남들 말 안 듣습니다.이재명은 박지현님의 목소리를 듣고 여성들의 목소리에 공감하고 동의하고 실행합니다.  ,0.09,0.75,0.02,0.01,0.03,0.03,0.01,0.03,0.06,0.12
5212,박지현님이 이렇게 말씀하셨을때 정말로 사과할까?싶기도 했어요. 근데 하네요.이재명은 권력형 성범죄 부정하고 민주당 잘못없다고 우기는 민주당지지한남들 말 안 듣습니다.이재명은 박지현님의 목소리를 듣고 여성들의 목소리에 공감하고 동의하고 실행합니다.  ,0.09,0.75,0.02,0.01,0.03,0.03,0.01,0.03,0.06,0.12
5213, 박지현님이 이렇게 말씀하셨을때 정말로 사과할까?싶기도 했어요. 근데 하네요.이재명은 권력형 성범죄 부정하고 민주당 잘못없다고 우기는 민주당지지한남들 말 안 듣습니다.이재명은 박지현님의 목소리를 듣고 여성들의 목소리에 공감하고 동의하고 실행합니다. ,0.09,0.75,0.02,0.01,0.03,0.03,0.01,0.03,0.06,0.12
5214," 박지현님이 이렇게 말하셨을 땐, 정말로 사과할까?싶기도 했어요. 근데 하네요.이재명은 권력형 성범죄 부정하고 민주당 잘못없다고 우기는 민주당지지한남들 말 안 듣습니다.이대명은 박지현님의 목소리를 듣고 여성들의 목소리에 공감하고 동의하고 실행합니다. ",0.08,0.7,0.02,0.01,0.03,0.03,0.01,0.03,0.06,0.15
5216,박지현님이 이렇게 말씀하셨을때 정말로 사과할까?싶기도 했어요. 근데 하네요.이재명은 권력형 성범죄 부정하고 민주당 잘못없다고 우기는 민주당지지한남들 말 안 듣습니다.이대명은 박지현님의 목소리를 듣고 여성들의 목소리에 공감하고 동의하고 실행합니다.  ,0.09,0.72,0.02,0.01,0.03,0.02,0.01,0.03,0.06,0.14
5256,박지현 위원장님이 ^^^젊은 여성 킹메이커^^^ 되는 거 보고 싶지 않냐ㅠ 이재명 당선되면 박지현 위원장님이야말로 일등공신이다제발 이재명한테 한 표 부탁드립니다 박지현 위원장님이 보란듯이 한국남자들의 조롱에도 상관없이 정치 거물로 탄탄대로 걸으며 성장하게 해주세요 제발 부탁드립니다 ,0.17,0.68,0.02,0.02,0.01,0.01,0.01,0.01,0.1,0.16
5295,제발 자매님들... 오늘 토론 보셨나요... 제발 자매님들의 결단이 박지현님을 킹메이커로 만들고 대한민국 여성들을 살립니다... ,0.1,0.89,0.03,0.03,0.02,0.02,0.02,0.01,0.06,0.07
5325,박지현님 영입하고부터 노선 확실히 정했나보네ㅋㅋ 진작에 펨코남 버리지 그랬어,0.05,0.66,0.03,0.09,0.01,0.01,0.01,0.01,0.16,0.08
5369,인알 하나하나 너무 간절해...ㅠㅠ 나 사실 오늘 아침 개산책 중에도 한남이 시비거는데 평소처럼 짖어서 쫓아내면서도 맘 속으로는 선거에서 지면 해꼬지 하는 한남이 생길까봐 처음으로 좀 쫄렸음...  이렇게 된 이상 박지현 위원장은 국회에 이재명은 청와대에 감금해버려...!,0.05,0.93,0.02,0.04,0.02,0.02,0.02,0.02,0.07,0.05
5404, 부디 한남들 조심하시길.,0.04,0.92,0.02,0.03,0.02,0.03,0.02,0.02,0.07,0.05
5479,"변영주 감독님, 박지현 위원장님 믿고 이재명 지지합니다. 펨베도태남들 단체로 한강가는 날을 고대합니다. 혐오정치는 사라져야 합니다. 나아가서 친일파 국민의힘당도 사라져야 합니다.",0.06,0.85,0.04,0.14,0.03,0.03,0.01,0.04,0.04,0.03
5604, 이 한남은 불법촬영물 포르노영상 올리는 섹계주제에 박지현 님 변영주 님 이름 입에 담는거 소름끼치고 역겹고 토쏠림  니같은 새끼들때문에 신상이위협당하시는거야 한남아 ,0.03,0.94,0.03,0.05,0.03,0.02,0.03,0.02,0.06,0.04
5729,김부선은 투명인간 십년을 넘게 이재명이 이랬다고 외쳐도 여성단체 페미니스트들은 안본척 모른척 투명인간 취급.한남들이 피해자를 지운다고 분노하더니 얘네들은 더 하네.박지현의 기준에 맞는 여성만 보호받을 가치가 있나?옛날 옛적 보호받을 정조만 보호한다던 법원과 뭐가 달라? ,0.27,0.76,0.02,0.02,0.02,0.02,0.01,0.03,0.06,0.03
5912,"으으... 도와주세요 저 정말 너무 무서워요전략투표 지금 정말 필요해요그남들만 믿고 여성혐오빨로 선거운동하다간 ㅈ된다는 걸 K국이 돌이킬 수 없는 백래시 광기에 휩싸이기 전에 알려야 해요 이번이 정말 분수령이 될지도 몰라요소신스럽게 전략투표해주세요,,, 😢#추적단불꽃_박지현_킹메이커 ",0.06,0.85,0.03,0.04,0.02,0.02,0.01,0.02,0.07,0.06
5996,한남들은 소신투표가 아니라 전략투표로 이재명을 뽑아서 여성인권과 페미의 입지가 넓어지는 걸 더 무서워하는구나#추적단불꽃_박지현_킹메이커,0.1,0.91,0.02,0.03,0.02,0.03,0.02,0.02,0.04,0.04
5998,한남들이 '여가부 폐지' 하나만 보고 무지성 결집한거 여자들은 왜 하면 안돼?언제까지 찢재명 조카변호 웅앵할건데??윤석열 이재명 도긴개긴인거 누가 몰라요근데 이준석과 박지현은 다르다고요~~~나도 걍 너네처럼 무지성 이재명 갈게 ㅇㅇ#추적단불꽃_박지현_킹메이커 ,0.19,0.86,0.02,0.02,0.03,0.02,0.01,0.02,0.05,0.05
6101, 한국남자들을 한남취급하면서 오히려 남녀의 간격을 더 벌려놓은게 가장 큰 문제 아닐지??지금은 아주 모든 남녀문제를&lt;일베 Vs 페미&gt;같은 구도를 고착화해놔서;;;해결이 더 어려워졌죠..정말 양 끝단에서 지*발광들을;;,0.22,0.76,0.01,0.03,0.01,0.01,0.01,0.01,0.06,0.05
6266,ㅁㅅㅇ  정권에서 절대 당신들이 신뢰하는 권인숙 의원 박지현씨가  김어준  김용민 이동형 황교익 김낙국 이 인간들 보다 더 높은 자리 더 높은 목소리 낼수 없음. 그들은 여성인권보다 그들만의 이권 카르텔이 더 중요하고 ㅁㅅㅇ 여기까지오게 만들어준 이들은 그 한남들이니까.,0.08,0.88,0.02,0.04,0.02,0.02,0.01,0.02,0.06,0.05
6398,근데 진짜 이번에 이재명 당선되면 킹메이커는 박지현이 맞는 듯. 박지현 영입 이후에 트위터 분위기도 확 달라지는거 느껴졌어. 고민정 때랑은 상황이 달라서 지역구로 내보내는건 좀 이른 것 같고(남자놈들 뭔지랄 할지 모름) 꼭 비례 상위순번 줘서 국회 보내자.,0.1,0.75,0.03,0.01,0.02,0.01,0.01,0.02,0.07,0.14
6505,"이번 대선: 추전단불꽃 박지현을 비롯해 여성인권을 위해 목소리를 내는 여성들 vs 윤과 이준석, 펨코남들_나는 내 성별에 투표하겠다 ",0.09,0.84,0.05,0.05,0.01,0.01,0.01,0.02,0.05,0.08
6515,"권인숙 정춘숙 의원, 불꽃 박지현 활동가를 영입하고, 매일 같이 여성정책 공약하는 이재명과이대남들이 원하는대로 여성인권을 망가뜨리겠다고 대놓고 공약하는 윤석열입니다.절대로 그게 그거가 아닙니다. 이번 선거는 여성의 생존에 전략투표 해주세요 🙏 ",0.24,0.68,0.03,0.05,0.02,0.01,0.01,0.02,0.04,0.07
6654,여성분들 정말 박지현씨 거대여당을 등에 업은 30대 젊은 여성 국회의원 만드는 목표로 이재명에게 표 주시길 간절히 바람...아까 박지현씨가 텔레그램 한남들이 자기 마스크 벗은 얼굴 찾는다 그래서 등줄기에 너무 서늘했다...ㅠㅠ 여자들을 지키려고 나선 여자는 여자들이 지켜줘야 한다.... ,0.2,0.83,0.02,0.04,0.02,0.02,0.01,0.02,0.04,0.04
6658,"권인숙-정춘숙 의원이 믿고, 불꽃 박지현 활동가를 영입한 이재명에게 한표를 주세요.여성인권을 말살하려는 윤석열-이준석과 여혐남들의 승리를 막아야 합니다.이번만큼은 전략투표를 부탁드립니다 🙏 ",0.12,0.86,0.03,0.04,0.02,0.02,0.01,0.03,0.04,0.06
6669,"주변에서 고민하는 여성분들 계시다면 추적단 불꽃의 박지현씨가 이재명 선대위에 합류한 것도 꼭 알려주세요. N번방은 알아도, 추적단 불꽃의 존재와 활약에 대해서는 모르시는 분들이 많습니다. 한남 기레기들이 기자도 아닌 기자지망 젊은 여자들이 알린 게 아니꼬왔는지 보도를 존나 안해줬거든요. ",0.07,0.9,0.02,0.03,0.05,0.02,0.02,0.02,0.04,0.04
6670,2030여성들이 부동표가 많은 상태에서 이재명이 되면 언론은 민주당 영입인사인 추적불꽃단 박지현님을 주목해서 이현상에 대해 분석을 할것이고 반면 윤석열이 되면 이준석이 몰고온 펨코 2030 한남들의 억울한마음에 집중할것임. 이번 대선 여자들이 확실하게 정치적인 의사를 표현할수는 기회임.,0.17,0.82,0.01,0.02,0.06,0.02,0.01,0.02,0.04,0.07
